📺中央频道,#genre#
CCTV8,http://39.134.65.145/PLTV/88888888/224/3221225795/1.m3u8$鹤岗
CCTV9,http://39.134.65.145/PLTV/88888888/224/3221225676/1.m3u8$鹤岗
CCTV10,http://39.134.65.145/PLTV/88888888/224/3221225677/1.m3u8$鹤岗
CCTV10,http://39.134.65.145/PLTV/88888888/224/3221226128/1.m3u8$鹤岗
CCTV11,http://39.134.65.145/PLTV/88888888/224/3221225517/1.m3u8$鹤岗
CCTV12,http://39.134.65.145/PLTV/88888888/224/3221225669/1.m3u8$鹤岗
CCTV13,http://39.134.65.145/PLTV/88888888/224/3221225812/1.m3u8$鹤岗
CCTV14,http://39.134.65.145/PLTV/88888888/224/3221226132/1.m3u8$鹤岗
CCTV14,http://39.134.65.145/PLTV/88888888/224/3221225674/1.m3u8$鹤岗
CCTV15,http://39.134.65.145/PLTV/88888888/224/3221225513/1.m3u8$鹤岗
CCTV17,http://39.134.65.145/PLTV/88888888/224/3221225708/1.m3u8$鹤岗

CCTV1,http://lyt.net.cn:5678/udp/239.49.8.19:9614$未知
CCTV2,http://lyt.net.cn:5678/udp/239.49.8.50:9802$未知
CCTV3,http://lyt.net.cn:5678/udp/239.49.8.74:8000$未知
CCTV1,http://10.8.8.200/hls/10/index.m3u8$哈尔滨
CCTV2,http://10.8.8.200/hls/11/index.m3u8$哈尔滨
CCTV3,http://10.8.8.200/hls/273/index.m3u8$哈尔滨
CCTV4,http://10.8.8.200/hls/98/index.m3u8$哈尔滨
CCTV7,http://10.8.8.200/hls/99/index.m3u8$哈尔滨
CCTV8,http://10.8.8.200/hls/276/index.m3u8$哈尔滨
CCTV15,http://10.8.8.200/hls/119/index.m3u8$哈尔滨
CCTV16,http://10.8.8.200/hls/104/index.m3u8$哈尔滨
CCTV17,http://10.8.8.200/hls/100/index.m3u8$哈尔滨
CGTN纪录,http://10.8.8.200/hls/14/index.m3u8$哈尔滨
CCTV1,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$黑河
CCTV1,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$黑河
CCTV2,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$黑河
CCTV3,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$黑河
CCTV4,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8$黑河
CCTV5+,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$黑河
CCTV6,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$黑河
CCTV7,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$黑河
CCTV7,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8$黑河
CCTV8,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$黑河
CCTV9,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$黑河
CCTV10,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$黑河
CCTV10,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8$黑河
CCTV11,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$黑河
CCTV12,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$黑河
CCTV13,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8$黑河
CCTV13,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8$黑河
CCTV15,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8$黑河
CCTV17,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$黑河
CCTV11,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$绥化
CCTV10,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$绥化
CCTV12,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$绥化
CCTV7,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$绥化
CCTV4,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8$绥化
CCTV8,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$绥化
CCTV6,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$绥化
CCTV13,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8$绥化
CCTV1,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$绥化
CCTV5,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$绥化
CCTV3,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$绥化
CCTV16,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$绥化
CCTV4,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8$绥化
CCTV2,http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$绥化

CCTV3,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$哈尔滨移动
CCTV2,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$哈尔滨移动
CCTV5,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$哈尔滨移动
CCTV6,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$哈尔滨移动
CCTV7,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$哈尔滨移动
CCTV8,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$哈尔滨移动
CCTV9,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$哈尔滨移动
CCTV10,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$哈尔滨移动
CCTV12,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$哈尔滨移动
CCTV14,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$哈尔滨移动
CCTV17,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$哈尔滨移动
CCTV5+,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$哈尔滨移动
CCTV3,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$哈尔滨移动
CCTV5,hhttp://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$哈尔滨移动
CCTV6,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$哈尔滨移动
CCTV7,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$哈尔滨移动
CCTV8,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$哈尔滨移动
CCTV9,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$哈尔滨移动
CCTV10,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$哈尔滨移动
CCTV12,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$哈尔滨移动
CCTV14,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$哈尔滨移动
CCTV17,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$哈尔滨移动
CCTV5+,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$哈尔滨移动

CCTV1,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221226134/index.m3u8$湖南py
CCTV2,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221226188/index.m3u8$湖南py
CCTV3,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221226190/index.m3u8$湖南py
CCTV4,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225829/index.m3u8$湖南py
CCTV5,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225827/index.m3u8$湖南py
CCTV5+,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225811/index.m3u8$湖南py
CCTV6,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225825/index.m3u8$湖南py
CCTV7,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225823/index.m3u8$湖南py
CCTV8,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225821/index.m3u8$湖南py
CCTV9,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225819/index.m3u8$湖南py
CCTV10,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225817/index.m3u8$湖南py
CCTV11,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225940/index.m3u8$湖南py
CCTV12,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225815/index.m3u8$湖南py
CCTV13,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225944/index.m3u8$湖南py
CCTV14,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225813/index.m3u8$湖南py
CCTV15,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225948/index.m3u8$湖南py
CGTN,http://PLTV/ku9/py/socks5.py?a=http://39.134.240.3/PLTV/2/224/3221225950/index.m3u8$湖南py

CCTV1,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-1H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV2,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-2H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV3,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-3H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV4,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-4H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV5,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-5H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV5+,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-5plusH265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV6,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-6H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV7,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-7H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV8,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-8H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV9,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-9H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV10,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-10H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV11,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-11-H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV12,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-12H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV13,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-xw_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV14,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-14H265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV15,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-15-yyH265_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV16,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-16_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV16-4k,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-16-4K_8000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV17,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-17_4000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV4K,http://183.61.225.53:2380/hw1live.rxip.sc96655.com.huan.tv/live/ys4Kcq_2000.m3u8?E&U&A&K&P&S$四川蜀小果
CCTV1,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226933/1.m3u8$北京移动
CCTV1,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8$北京移动
CCTV1,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226346/1.m3u8$北京移动
CCTV1,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226431/1.m3u8$北京移动
CCTV2,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8$北京移动
CCTV2,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226950/1.m3u8$北京移动
CCTV2,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8$北京移动
CCTV2,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226371/1.m3u8$北京移动
CCTV2,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226472/1.m3u8$北京移动
CCTV2,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226990/1.m3u8$北京移动
CCTV3,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8$北京移动
CCTV4,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8$北京移动
CCTV4,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226470/1.m3u8$北京移动
CCTV5,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8$北京移动
CCTV5+,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226929/1.m3u8$北京移动
CCTV5+,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8$北京移动
CCTV5+,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226349/1.m3u8$北京移动
CCTV5+,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226458/1.m3u8$北京移动
CCTV6,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8$北京移动
CCTV7,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8$北京移动
CCTV7,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8$北京移动
CCTV7,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226467/1.m3u8$北京移动
CCTV8,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8$北京移动
CCTV9,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8$北京移动
CCTV9,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/1.m3u8$北京移动
CCTV9,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8$北京移动
CCTV10,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8$北京移动
CCTV10,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226464/1.m3u8$北京移动
CCTV11,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8$北京移动
CCTV11,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8$北京移动
CCTV12,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8$北京移动
CCTV12,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8$北京移动
CCTV12,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8$北京移动
CCTV13,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8$北京移动
CCTV13,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226568/1.m3u8$北京移动
CCTV14,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8$北京移动
CCTV14,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8$北京移动
CCTV14,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226461/1.m3u8$北京移动
CCTV15,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226460/1.m3u8$北京移动
CCTV15,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8$北京移动
CCTV16,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226888/1.m3u8$北京移动
CCTV16,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226887/1.m3u8$北京移动
CCTV16,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226892/1.m3u8$北京移动
CCTV16,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221227002/1.m3u8$北京移动
CCTV17,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8$北京移动
CCTV17,http://183.61.225.53:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226459/1.m3u8$北京移动



🏠黑龙江频道,#genre#
哈尔滨新闻综合,http://39.134.65.145/PLTV/88888888/224/3221226093/1.m3u8$鹤岗
哈尔滨新闻综合,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226558/index.m3u8$黑河
哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨娱乐,http://stream.hrbtv.net/ylpd/sd/live.m3u8
哈尔滨新闻综合,http://111.43.126.240:9003/hls/1/index.m3u8$五常移动$五常移动
哈尔滨生活,http://111.43.126.240:9003/hls/3/index.m3u8$五常移动$五常移动
哈尔滨影视,http://111.43.126.240:9003/hls/5/index.m3u8$五常移动$五常移动
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8$移动丨回看
黑龙江卫视,http://api2.52tb.xyz/info?id=143&token=20230120rdbtgv
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8$移动丨回看
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226467/index.m3u8$移动丨回看
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226525/index.m3u8$移动丨回看
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226531/index.m3u8$移动丨回看
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226532/index.m3u8$移动丨回看
